Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_commercialBulletproofGlassDoor_NoBarricadeBlockVariantHelper,blocks,block,,,Commercial Bulletproof Glass Door (No Barricade),,Kommerzielle kugelsichere Glastür (Ohne Barrikade),Puerta comercial de cristal a prueba de balas (Sin Barricada),Porte de commerce en verre pare-balles (Sans Barrière),Porta di vetro blindata commerciale (Senza Barriera),業務用防弾ガラスドア (バリケードなし),상업용 방탄 유리 문 (방어막 없음),"Drzwi przedsiębiorstwa – szklane, kuloodporne (Bez Wzmocnienia)",Porta comercial de vidro à prova de balas (Sem Barreira),Промышленная пуленепробиваемая стеклянная дверь (Без Баррикады),Kurşungeçirmez Ticari Cam Kapı (Barikat Yok),防弹商业玻璃门 (无障碍),商業防彈玻璃門 (無障礙)
JC_commercialBulletproofSlidingDoor_NoBarricade,blocks,block,,,Commercial Bulletproof Sliding Door (No Barricade),,Kommerzielle kugelsichere Glas-Schiebetür (Ohne Barrikade),Puerta comercial de cristal corrediza a prueba de balas (Sin Barricada),Porte coulissante de commerce en verre pare-balles (Sans Barrière),Porta scorrevole blindata commerciale (Senza Barriera),業務用防弾スライドドア (バリケードなし),상업용 방탄 미닫이문 (방어막 없음),"Drzwi przedsiębiorstwa – przesuwane, kuloodporne (Bez Wzmocnienia)",Porta comercial corrediça à prova de balas (Sem Barreira),Промышленная пуленепробиваемая раздвижная дверь (Без Баррикады),Kurşungeçirmez Ticari Sürgülü Kapı (Barikat Yok),防弹商业推拉门 (无障碍),商業防彈拉門 (無障礙)
JC_commercialDoorDoubleV1Blue_NoBarricade,blocks,block,,,Blue Commercial Double Door V1 (No Barricade),,Blaue Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Azul V1 (Sin Barricada),Double porte de commerce Bleuhe V1 (Sans Barrière),Porta di emergenza doppia Blu V1 (Senza Barriera),業務用ダブルドア V1（青） (バリケードなし),파란색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Niebieski, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Синий двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Mavi Ticari Kapı V1 (Barikat Yok),蓝色商业双开门 V1 (无障碍),藍色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Brown_NoBarricade,blocks,block,,,Brown Commercial Double Door V1 (No Barricade),,Braune Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Marrón V1 (Sin Barricada),Double porte de commerce Marronhe V1 (Sans Barrière),Porta di emergenza doppia Marrone V1 (Senza Barriera),業務用ダブルドア V1（茶色） (バリケードなし),갈색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Brązowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Коричневый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Kahverengi Ticari Kapı V1 (Barikat Yok),棕色商业双开门 V1 (无障碍),棕色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Green_NoBarricade,blocks,block,,,Green Commercial Double Door V1 (No Barricade),,Grüne Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Verde V1 (Sin Barricada),Double porte de commerce Verthe V1 (Sans Barrière),Porta di emergenza doppia Verde V1 (Senza Barriera),業務用ダブルドア V1（緑） (バリケードなし),초록색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Zielony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Зелёный двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Yeşil Ticari Kapı V1 (Barikat Yok),绿色商业双开门 V1 (无障碍),綠色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Grey_NoBarricade,blocks,block,,,Gray Commercial Double Door V1 (No Barricade),,Graue Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Gris V1 (Sin Barricada),Double porte de commerce Grishe V1 (Sans Barrière),Porta di emergenza doppia Grigio V1 (Senza Barriera),業務用ダブルドア V1（灰色） (バリケードなし),회색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Szary, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Серый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Gri Ticari Kapı V1 (Barikat Yok),灰色商业双开门 V1 (无障碍),灰色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Oak_NoBarricade,blocks,block,,,White Commercial Double Door V1 (No Barricade),,Weiße Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial blanca V1 (Sin Barricada),Double porte de commerce blanche V1 (Sans Barrière),Porta di emergenza doppia bianca V1 (Senza Barriera),業務用ダブルドア V1（白） (バリケードなし),흰색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – białe, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Белая двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V1 (Barikat Yok),白色商业双开门 V1 (无障碍),白色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Orange_NoBarricade,blocks,block,,,Orange Commercial Double Door V1 (No Barricade),,Orangee Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Naranja V1 (Sin Barricada),Double porte de commerce Orangehe V1 (Sans Barrière),Porta di emergenza doppia Arancione V1 (Senza Barriera),業務用ダブルドア V1（オレンジ） (バリケードなし),오렌지색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Оранжевый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Turuncu Ticari Kapı V1 (Barikat Yok),橙色商业双开门 V1 (无障碍),橙色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Pink_NoBarricade,blocks,block,,,Pink Commercial Double Door V1 (No Barricade),,Rosae Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Rosa V1 (Sin Barricada),Double porte de commerce Rosehe V1 (Sans Barrière),Porta di emergenza doppia Rosa V1 (Senza Barriera),業務用ダブルドア V1（ピンク） (バリケードなし),분홍색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Różowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Розовый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Pembe Ticari Kapı V1 (Barikat Yok),粉色商业双开门 V1 (无障碍),粉紅色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Purple_NoBarricade,blocks,block,,,Purple Commercial Double Door V1 (No Barricade),,Lilae Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Púrpura V1 (Sin Barricada),Double porte de commerce Violethe V1 (Sans Barrière),Porta di emergenza doppia Viola V1 (Senza Barriera),業務用ダブルドア V1（紫） (バリケードなし),보라색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Fioletowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Фиолетовый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Mor Ticari Kapı V1 (Barikat Yok),紫色商业双开门 V1 (无障碍),紫色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Red_NoBarricade,blocks,block,,,Red Commercial Double Door V1 (No Barricade),,Rote Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Rojo V1 (Sin Barricada),Double porte de commerce Rougehe V1 (Sans Barrière),Porta di emergenza doppia Rosso V1 (Senza Barriera),業務用ダブルドア V1（赤） (バリケードなし),빨간색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Czerwony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Красный двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Kırmızı Ticari Kapı V1 (Barikat Yok),红色商业双开门 V1 (无障碍),紅色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1White_NoBarricade,blocks,block,,,White Commercial Double Door V1 (No Barricade),,Weiße Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Blanco V1 (Sin Barricada),Double porte de commerce Blanche V1 (Sans Barrière),Porta di emergenza doppia Bianco V1 (Senza Barriera),業務用ダブルドア V1（白） (バリケードなし),흰색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Biały, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Белый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V1 (Barikat Yok),白色商业双开门 V1 (无障碍),白色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV1Yellow_NoBarricade,blocks,block,,,Yellow Commercial Double Door V1 (No Barricade),,Gelbe Industriedoppeltür V1 (Ohne Barrikade),Puerta doble comercial Amarillo V1 (Sin Barricada),Double porte de commerce Jaunehe V1 (Sans Barrière),Porta di emergenza doppia Giallo V1 (Senza Barriera),業務用ダブルドア V1（黄色） (バリケードなし),노란색 상업용 이중문 V1 (방어막 없음),"Drzwi przedsiębiorstwa V1 – Żółty, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V1 (Sem Barreira),Жёлтый двойная промышленная дверь V1 (Без Баррикады),Çift Kanatlı Sarı Ticari Kapı V1 (Barikat Yok),黄色商业双开门 V1 (无障碍),黃色商業雙門 V1 (無障礙)
JC_commercialDoorDoubleV2Blue_NoBarricade,blocks,block,,,Blue Commercial Double Door V2 (No Barricade),,Blaue Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Azul V2 (Sin Barricada),Double porte de commerce Bleuhe V2 (Sans Barrière),Porta di emergenza doppia Blu V2 (Senza Barriera),業務用ダブルドア V2（青） (バリケードなし),파란색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Niebieski, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Синий двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Mavi Ticari Kapı V2 (Barikat Yok),蓝色商业双开门 V2 (无障碍),藍色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Brown_NoBarricade,blocks,block,,,Brown Commercial Double Door V2 (No Barricade),,Braune Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Marrón V2 (Sin Barricada),Double porte de commerce Marronhe V2 (Sans Barrière),Porta di emergenza doppia Marrone V2 (Senza Barriera),業務用ダブルドア V2（茶色） (バリケードなし),갈색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Brązowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Коричневый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Kahverengi Ticari Kapı V2 (Barikat Yok),棕色商业双开门 V2 (无障碍),棕色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Green_NoBarricade,blocks,block,,,Green Commercial Double Door V2 (No Barricade),,Grüne Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Verde V2 (Sin Barricada),Double porte de commerce Verthe V2 (Sans Barrière),Porta di emergenza doppia Verde V2 (Senza Barriera),業務用ダブルドア V2（緑） (バリケードなし),초록색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Zielony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Зелёный двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Yeşil Ticari Kapı V2 (Barikat Yok),绿色商业双开门 V2 (无障碍),綠色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Grey_NoBarricade,blocks,block,,,Gray Commercial Double Door V2 (No Barricade),,Graue Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Gris V2 (Sin Barricada),Double porte de commerce Grishe V2 (Sans Barrière),Porta di emergenza doppia Grigio V2 (Senza Barriera),業務用ダブルドア V2（灰色） (バリケードなし),회색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Szary, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Серый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Gri Ticari Kapı V2 (Barikat Yok),灰色商业双开门 V2 (无障碍),灰色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Oak_NoBarricade,blocks,block,,,White Commercial Double Door V2 (No Barricade),,Weiße Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial blanca V2 (Sin Barricada),Double porte de commerce blanche V2 (Sans Barrière),Porta di emergenza doppia bianca V2 (Senza Barriera),業務用ダブルドア V2（白） (バリケードなし),흰색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – białe, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Белая двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V2 (Barikat Yok),白色商业双开门 V2 (无障碍),白色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Orange_NoBarricade,blocks,block,,,Orange Commercial Double Door V2 (No Barricade),,Orangee Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Naranja V2 (Sin Barricada),Double porte de commerce Orangehe V2 (Sans Barrière),Porta di emergenza doppia Arancione V2 (Senza Barriera),業務用ダブルドア V2（オレンジ） (バリケードなし),오렌지색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Оранжевый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Turuncu Ticari Kapı V2 (Barikat Yok),橙色商业双开门 V2 (无障碍),橙色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Pink_NoBarricade,blocks,block,,,Pink Commercial Double Door V2 (No Barricade),,Rosae Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Rosa V2 (Sin Barricada),Double porte de commerce Rosehe V2 (Sans Barrière),Porta di emergenza doppia Rosa V2 (Senza Barriera),業務用ダブルドア V2（ピンク） (バリケードなし),분홍색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Różowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Розовый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Pembe Ticari Kapı V2 (Barikat Yok),粉色商业双开门 V2 (无障碍),粉紅色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Purple_NoBarricade,blocks,block,,,Purple Commercial Double Door V2 (No Barricade),,Lilae Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Púrpura V2 (Sin Barricada),Double porte de commerce Violethe V2 (Sans Barrière),Porta di emergenza doppia Viola V2 (Senza Barriera),業務用ダブルドア V2（紫） (バリケードなし),보라색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Fioletowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Фиолетовый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Mor Ticari Kapı V2 (Barikat Yok),紫色商业双开门 V2 (无障碍),紫色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Red_NoBarricade,blocks,block,,,Red Commercial Double Door V2 (No Barricade),,Rote Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Rojo V2 (Sin Barricada),Double porte de commerce Rougehe V2 (Sans Barrière),Porta di emergenza doppia Rosso V2 (Senza Barriera),業務用ダブルドア V2（赤） (バリケードなし),빨간색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Czerwony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Красный двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Kırmızı Ticari Kapı V2 (Barikat Yok),红色商业双开门 V2 (无障碍),紅色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2White_NoBarricade,blocks,block,,,White Commercial Double Door V2 (No Barricade),,Weiße Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Blanco V2 (Sin Barricada),Double porte de commerce Blanche V2 (Sans Barrière),Porta di emergenza doppia Bianco V2 (Senza Barriera),業務用ダブルドア V2（白） (バリケードなし),흰색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Biały, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Белый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V2 (Barikat Yok),白色商业双开门 V2 (无障碍),白色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV2Yellow_NoBarricade,blocks,block,,,Yellow Commercial Double Door V2 (No Barricade),,Gelbe Industriedoppeltür V2 (Ohne Barrikade),Puerta doble comercial Amarillo V2 (Sin Barricada),Double porte de commerce Jaunehe V2 (Sans Barrière),Porta di emergenza doppia Giallo V2 (Senza Barriera),業務用ダブルドア V2（黄色） (バリケードなし),노란색 상업용 이중문 V2 (방어막 없음),"Drzwi przedsiębiorstwa V2 – Żółty, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V2 (Sem Barreira),Жёлтый двойная промышленная дверь V2 (Без Баррикады),Çift Kanatlı Sarı Ticari Kapı V2 (Barikat Yok),黄色商业双开门 V2 (无障碍),黃色商業雙門 V2 (無障礙)
JC_commercialDoorDoubleV3Blue_NoBarricade,blocks,block,,,Blue Commercial Double Door V3 (No Barricade),,Blaue Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Azul V3 (Sin Barricada),Double porte de commerce Bleuhe V3 (Sans Barrière),Porta di emergenza doppia Blu V3 (Senza Barriera),業務用ダブルドア V3（青） (バリケードなし),파란색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Niebieski, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Синий двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Mavi Ticari Kapı V3 (Barikat Yok),蓝色商业双开门 V3 (无障碍),藍色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Brown_NoBarricade,blocks,block,,,Brown Commercial Double Door V3 (No Barricade),,Braune Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Marrón V3 (Sin Barricada),Double porte de commerce Marronhe V3 (Sans Barrière),Porta di emergenza doppia Marrone V3 (Senza Barriera),業務用ダブルドア V3（茶色） (バリケードなし),갈색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Brązowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Коричневый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Kahverengi Ticari Kapı V3 (Barikat Yok),棕色商业双开门 V3 (无障碍),棕色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Green_NoBarricade,blocks,block,,,Green Commercial Double Door V3 (No Barricade),,Grüne Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Verde V3 (Sin Barricada),Double porte de commerce Verthe V3 (Sans Barrière),Porta di emergenza doppia Verde V3 (Senza Barriera),業務用ダブルドア V3（緑） (バリケードなし),초록색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Zielony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Зелёный двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Yeşil Ticari Kapı V3 (Barikat Yok),绿色商业双开门 V3 (无障碍),綠色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Grey_NoBarricade,blocks,block,,,Gray Commercial Double Door V3 (No Barricade),,Graue Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Gris V3 (Sin Barricada),Double porte de commerce Grishe V3 (Sans Barrière),Porta di emergenza doppia Grigio V3 (Senza Barriera),業務用ダブルドア V3（灰色） (バリケードなし),회색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Szary, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Серый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Gri Ticari Kapı V3 (Barikat Yok),灰色商业双开门 V3 (无障碍),灰色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Oak_NoBarricade,blocks,block,,,White Commercial Double Door V3 (No Barricade),,Weiße Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial blanca V3 (Sin Barricada),Double porte de commerce blanche V3 (Sans Barrière),Porta di emergenza doppia bianca V3 (Senza Barriera),業務用ダブルドア V3（白） (バリケードなし),흰색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – białe, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Белая двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V3 (Barikat Yok),白色商业双开门 V3 (无障碍),白色商業雙門 V3 (無障礙)
